"Table S2, dinocyst percentages and environmental parameters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dinocyst  percentages, See table 1 for abbreviations ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Site number","Aand","Atax","Btep","Bspo","Iacu","Ipal","Ipar","Ipat","Isph","Istr","Ipli","Ivel","Ijap","Lmac","Mcho","Nlab","Nrig","Ocen","Oisr","Ojan","Olon","Ogig","Pzoh","Pret","Smem","Sdel","Selo","Sram","Sbel","Sben","Sbul","Slaz","Smir","Sgra","Spac","Sspp","Tpel","Pdal","Stri","Imin","Imic","Ibre","Ekar","Bspp","Dubr","Peri","Lspp","Snep","Xxan","Squa","Pnud","Tapp","Tvar","Vcal","Vspi","Pame","Qcon","Pkof","Parc","Psch","Gymn","Eacu","Egra","Edel","Etra","Espp","Sste","Sbif","Cysa","Tvan","Dcha"
"E018",0,1.25786163522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40251572327044,0,0,0,0,0,0,0,0,1.57232704402516,0,0,0,0,0,0,0,0,0,0,30.503144654088,0,8.17610062893082,0,0,0,39.622641509434,0,0,0,0,0,7.54716981132076,0,0,0,0,0,6.91823899371069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E019",0,0.323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20711974110032,0,2.9126213592233,0,0,0,0,0,0,0,0,2.9126213592233,1.94174757281553,0,0,0,0,0,0,0,0.323624595469256,0,24.9190938511327,0,4.53074433656958,0,0,0,45.9546925566343,0,0,0,0,0,7.44336569579288,0,0,0,0,0,4.53074433656958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418410041841004,0,1.67364016736402,0,0,0,0,0,0,0,0,2.09205020920502,0.836820083682008,0,0,0,0,0,0,0,0,0,25.1046025104603,0,9.6234309623431,0,0,0,46.0251046025105,0,0,0,0,0,7.94979079497908,0,0,0,0,0,6.27615062761506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27062706270627,0,5.61056105610561,0,0,0,0,0,0,0,0,2.97029702970297,2.31023102310231,0,0,0,0,0,0,0,0.33003300330033,0,37.953795379538,0,7.26072607260726,0,0,0,31.3531353135314,0,0,0,0,0,5.94059405940594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327868852459016,0,1.31147540983607,0,0,0,0,0,0,0,0,0.655737704918033,1.63934426229508,0,0,0,0,0,0,0,0,0,45.9016393442623,0,10.8196721311475,0,0,0,33.1147540983607,0,0,0,0,0,6.22950819672131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G023",0,0,0.338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,8.8135593220339,0,6.77966101694915,0,0,0,0,0,0,0,0,1.35593220338983,1.01694915254237,0,0,0,0,0,0,0,0.338983050847458,0,52.5423728813559,0,6.44067796610169,0,0,0,16.9491525423729,0,0,0,0,0,3.38983050847458,0,0,0,0,0,2.03389830508475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G024",0,0.649350649350649,1.2987012987013,0,0,0,0,0,0,0,0,0,0,0,0,21.4285714285714,0,25.3246753246753,0,0,0,0,0,0,0,0,4.54545454545455,6.16883116883117,0,0,0,0,0,0,0,3.8961038961039,0,22.0779220779221,0,4.87012987012987,0,0,0,5.51948051948052,0,0,0,0,0,4.22077922077922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G025",0,0.321543408360129,0.643086816720257,0,0,0,0,0,0,0,0,0,0,0,0,30.2250803858521,0,9.96784565916399,0,0,0,0,0,0,0,0,0.964630225080386,0,0,0,0,0,0,0,0,2.57234726688103,0,29.2604501607717,0,0.964630225080386,0,0,0,18.6495176848875,0,0,0,0,0,4.5016077170418,0,0,0,0,0,1.92926045016077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G026",0,0.72992700729927,0.364963503649635,0,0,0,0,0,0,0,0,0,0,0,0,8.39416058394161,0,10.5839416058394,0,0,0,0,0,0,0,0,1.09489051094891,3.64963503649635,0,0,0,0,0,0,0,2.18978102189781,0,30.6569343065693,0,7.66423357664234,0,0,0,21.1678832116788,0,0,0,0,0,13.5036496350365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G027",0,0,2.31788079470199,0,0,0,0,0,0,0,0,0,0,0,0,34.1059602649007,0,21.1920529801325,0,0,0,0,0,0,0,0,2.31788079470199,0.993377483443709,0,0,0,0,0,0,0,1.32450331125828,0,24.1721854304636,0,0.993377483443709,0,0,0,7.6158940397351,0,0,0,0,0,4.96688741721854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
